Group,Age,Gender,Frequency_of_Trips,Income
A,52,1,5,3456.5522436238034
A,28,1,5,2547.797792089996
A,57,1,4,2833.5424174638947
A,49,1,7,2581.636608728308
A,66,0,4,2503.089058515664
A,43,0,2,2537.380087025289
A,39,0,4,2693.0322648834735
A,18,0,5,4021.368775747532
A,65,1,2,2970.7549761355936
A,46,0,1,2323.609495850965
A,69,1,6,2737.8568499635635
A,56,0,9,3508.271151120337
A,39,1,7,2649.1412436453925
A,49,1,6,3743.8101375865535
A,42,0,6,3514.817242980568
A,57,1,5,2902.8343531256446
A,62,1,5,2672.006224014612
A,46,0,5,2524.604712538817
A,54,0,3,3096.1993799346697
A,49,1,3,3207.4900050655224
A,47,0,8,3670.0069530921246
A,35,1,5,3178.3999426905025
A,61,0,4,2823.810587467635
A,65,1,2,3687.181598159144
A,20,0,4,3409.63331651337
A,29,0,10,2656.170030614524
A,68,0,1,2958.4530183527013
A,37,1,5,3330.229546081046
A,67,0,2,3152.445834528437
A,25,0,3,2496.0718101274997
A,48,1,4,3087.932326118091
A,41,0,4,2662.180032517165
A,30,1,8,3031.749245224274
A,25,0,3,2350.1675845734953
A,59,0,2,2554.546764726591
A,31,0,5,4049.319837689143
A,32,1,4,2786.88118080422
A,38,0,5,3556.72829420123
A,32,1,6,2937.0668228076215
A,43,0,4,2398.5403297622556
A,55,0,6,2460.0133773523576
A,63,1,6,2603.519170196167
A,55,1,1,4072.8669675040173
A,50,0,2,2884.4430602893913
A,27,1,2,3090.532842743794
A,36,1,3,3340.8931214634376
A,28,0,5,3252.2957601019434
A,20,1,7,3432.4947983094316
A,40,1,1,2737.2912897685446
A,23,0,3,2408.0813282564177
A,58,0,3,2527.7247812974683
A,58,1,5,2234.0680336533296
A,46,1,7,2739.913466551391
A,21,1,7,1136.929362490515
A,20,0,5,3362.299311056026
A,37,1,6,3286.0463473847635
A,68,0,6,2512.2656647702365
A,60,0,3,2311.5691128656845
A,68,1,6,3763.960055870348
A,66,1,5,3483.2427905952954
A,25,1,5,2871.310271061479
A,23,1,5,2662.4418255152445
A,22,1,5,3019.01960229301
A,25,0,4,2279.5526364220914
A,25,1,11,3146.483373756213
A,52,1,4,2398.9420201789426
A,36,0,8,1804.5628346283088
A,65,0,4,2593.0836248074934
A,27,0,5,2492.4581775798015
A,52,0,5,3903.45743303967
A,26,0,6,3837.349088325656
A,25,1,2,2441.83772134453
A,25,0,6,2949.953968976377
A,25,0,9,2671.8477113407503
A,37,0,8,3918.902843015977
A,24,1,5,2089.9096049355985
A,63,0,9,3232.559974478214
A,39,1,6,3638.9907814285425
A,34,1,3,2727.163229496084
A,61,1,8,3011.8022587105547
A,22,1,3,3526.5480441192203
A,51,1,3,2446.532965696183
A,42,0,6,3318.271465767921
A,64,1,6,2225.791860707333
A,60,1,3,2202.3247972334234
A,32,0,3,3425.3008744257877
A,48,0,7,2516.5210198916134
A,62,1,4,3089.6688673259673
A,36,0,4,2410.936445195107
A,61,1,7,3140.303312824408
A,48,0,4,2170.440021660256
A,64,1,8,3647.818857375887
A,29,1,4,3406.7114350417182
A,40,1,6,2699.3576719438665
A,67,0,2,2068.494219355755
A,40,0,6,2897.654136850951
A,53,0,6,2820.8315305787223
A,28,0,4,2727.809491366676
A,39,1,7,3525.315225631115
A,64,0,2,3606.764649437051
A,47,0,6,3213.7795336677013
A,22,1,6,3745.295327254417
A,54,1,8,1598.4190313530653
A,37,0,3,2847.9561844269037
A,27,1,4,2824.1199838781113
A,39,0,4,3421.0505199988766
A,59,0,5,2840.7847971310257
A,47,0,2,3277.7160081110364
A,47,1,0,2759.190537186727
A,39,1,3,2662.9845410425833
A,55,1,5,3400.535870344833
A,55,1,5,2999.084030885611
A,55,1,10,3153.55530108354
A,24,0,7,2379.8524387900734
A,67,0,5,3338.916490304883
A,53,1,3,2461.460417910243
A,31,0,8,3856.5823257510688
A,28,0,1,2871.7536265328654
A,24,1,10,2792.985328842139
A,49,1,1,3446.093691960086
A,35,1,4,2974.147061810403
A,69,0,6,3358.747874070843
A,51,1,5,2850.548568446778
A,19,0,7,3356.762172449005
A,24,1,8,2961.7796324758315
A,60,1,3,3433.425836661776
A,48,1,5,3575.373165960116
A,35,1,8,2207.720293061615
A,37,1,7,3178.895534494247
A,24,0,9,3914.8170478903407
A,39,0,2,3308.891186324932
A,69,1,8,4219.2417664227005
A,54,1,3,2535.906209846896
A,51,0,4,3128.9371620837474
A,63,1,2,3243.8276107382426
A,56,1,7,2736.565256928963
A,59,0,2,2382.1802948497434
A,67,0,4,4084.9035139280772
A,57,0,4,3561.1020949211925
A,33,0,4,3278.935021019012
A,31,0,6,3023.9363611634753
A,58,1,8,3070.193199367534
A,49,0,1,3314.0153636662426
A,55,0,2,3721.1735249008175
A,56,0,2,2646.5526792423234
A,43,0,1,3052.824229627245
A,47,0,4,2815.0078973287027
A,58,1,8,2471.552510594766
A,56,1,2,2693.152921212583
A,26,0,2,3108.1426403253954
A,49,1,5,2850.350502367889
A,24,1,3,3013.6417360415267
A,29,1,4,3362.3189410665414
A,40,1,6,3577.5399586274125
A,34,1,7,4326.9049810839515
A,69,0,7,3385.6214969509397
A,38,1,2,2691.5514031402886
A,29,0,7,3551.3631796651184
A,39,0,2,2841.056054201215
A,40,1,3,2650.4099656431663
A,22,0,4,3311.408279048933
A,35,0,1,3706.8703474333956
A,54,1,3,2697.2366527133
A,54,0,9,3157.7000852984606
A,24,1,0,3228.1751549073815
A,20,1,2,2525.7178693052224
A,18,0,6,2284.2779225828262
A,23,1,3,2298.5729714352797
A,24,1,5,3639.4246624428556
A,44,1,6,2768.0738923306635
A,48,1,2,2684.8608567142837
A,25,1,6,3159.226881920947
A,31,1,7,3650.406876451803
A,32,1,8,2417.650371254986
A,24,0,5,2055.907439089095
A,24,1,5,3737.7884846022584
A,50,1,8,3256.8970735930884
A,58,1,8,2463.648742293141
A,24,0,8,2780.8473969825877
A,37,0,5,2498.817056662812
A,24,1,5,3319.9712958540717
A,67,1,5,3511.4142254679023
A,31,1,5,3334.641092196704
A,32,0,5,3083.206542699585
A,35,0,7,3189.0492999206526
A,27,1,6,2629.1615016905907
A,52,0,2,2777.915058895546
A,44,1,2,3002.998853146337
A,60,1,2,2861.6614127911957
A,18,1,4,3000.28154953366
A,45,0,4,2191.218039068856
A,51,0,5,3440.616023078489
A,65,0,11,2463.9379685607664
A,20,1,5,1945.9266542091639
A,66,1,6,2642.346197885845
A,20,0,3,2892.1795315786508
A,28,1,4,4008.8347771098984
A,21,0,7,2755.576997284941
A,47,0,7,3104.8624841902856
A,56,1,4,3160.3432104105723
A,49,0,6,2242.561596435383
A,33,1,5,2947.3731648407966
A,34,1,4,2867.777847843935
A,28,1,1,3041.828618076476
