Group,Age,Gender,Frequency_of_Trips,Income
A,56,0,4,3101.310797927975
A,69,1,6,3680.0560052534065
A,46,1,5,3552.6691690050584
A,32,0,4,2192.2915278656687
A,60,0,6,2605.578375699744
A,25,1,6,3649.8201871547353
A,38,1,4,2634.453583702466
A,56,1,2,2971.542918294912
A,36,1,3,2147.3555326929572
A,40,1,6,3576.516707756474
A,28,1,7,2043.625897074306
A,28,1,6,2178.5947096066902
A,41,0,7,3525.408530418352
A,53,1,5,3960.0308397832787
A,57,1,4,2854.6944576375427
A,41,0,5,2976.5685940685876
A,20,1,4,3454.139779891494
A,39,1,7,3144.7239073486912
A,19,0,5,2813.390910311668
A,41,1,6,2757.2731893071536
A,61,0,5,2216.6010212575084
A,47,0,2,3116.47088606011
A,55,0,4,2954.041588965262
A,19,0,4,2781.0769104436595
A,38,1,6,2499.0926022188055
A,50,0,11,2549.7345733532848
A,29,0,6,3309.18846025335
A,39,1,8,3440.8318242045234
A,61,0,5,2836.441921854692
A,42,0,3,2783.7602133768105
A,66,0,5,2573.175976692898
A,44,0,1,3468.410021787129
A,59,1,8,3015.4978848279534
A,45,0,6,3183.950489663632
A,33,1,4,3179.2350650467315
A,32,1,7,2846.1491897330316
A,64,0,1,2417.3199500782894
A,68,0,7,2501.9334221570402
A,61,0,3,3563.9427663237257
A,69,0,9,2637.157842574714
A,20,1,4,2794.818840125825
A,54,1,2,2432.804732314395
A,68,1,4,2391.9667405367964
A,24,0,6,2615.4175014856387
A,38,1,2,3844.2035921222296
A,26,0,1,3329.0186955962145
A,56,0,7,2736.6055642881884
A,35,0,7,3541.438397275998
A,21,0,6,2923.8505633517766
A,42,0,8,3677.170023495919
A,31,1,7,4105.865175198107
A,67,1,5,3514.0808696330955
A,26,0,6,3047.275477611289
A,43,1,6,3349.6549367581797
A,19,0,7,3007.535609641106
A,37,0,6,2082.0008180124787
A,45,0,3,2672.687292893978
A,64,1,3,2524.2042021733914
A,24,0,1,2661.6044790845635
A,61,0,5,3896.835716319722
A,25,1,3,3561.0748714273295
A,64,1,9,3220.4424007208236
A,52,1,8,3406.171475225679
A,31,0,4,2053.943257047072
A,34,0,2,3364.0918565447646
A,53,1,3,3469.8121581010837
A,67,0,2,1880.1264061563586
A,57,1,4,3382.6183768896994
A,21,1,4,2287.963178666457
A,19,0,5,2014.9973217769839
A,23,0,8,3663.1591084297893
A,59,1,6,2496.475476193829
A,21,1,3,2642.0266303078115
A,46,1,5,3494.8022713786727
A,35,1,6,2847.380863873799
A,43,0,3,2909.9173131354587
